0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,Measles Cases,,,,,,Rubella Cases,,,,Discarded Cases,,,,,Incidence,,Discarded Rate
n,,s,"Lab
confirmed",,"E p i -
linked","C l i n i cally
compatible",,Total,"Lab
confirmed",,"E p i -
linked",Total,"Both
Negative
(Discarded)",,"Epi-
linked
(Discarded)",Total,"n
o
it
a
c
if
is
s
a
lc","Incidence per
1 million
population",,"Non-measles
non-rubella
discarded rate
per 100,000
pop"
"o
is
iv
iD",District,"e
s
a
c
la
t
o
T","s
e
s
a
c
c
id
a
r
o
p
S","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
e
s
a
c
c
id
a
r
o
p
S","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
e
s
a
c
s
e
ls
a
e
m
la
t
o
T","s
e
s
a
c
c
id
a
r
o
p
S","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
e
s
a
c
a
lle
b
u
r
la
t
o
T","s
e
s
a
c
c
id
a
r
o
p
S","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
k
a
e
r
b
t
u
o
m
o
r
f
s
e
s
a
C","s
e
s
a
c
d
e
d
r
a
c
s
id
la
t
o
T","r
o
f
g
n
id
n
e
p
s
e
s
a
C","s
e
ls
a
e
M","a
lle
b
u
R","s
u
t
a
t
s
t
c
ir
t
s
iD"
"H
G
N
IS
N
E
M
Y
M",JAMALPUR,115,27,6,0,3,0,33,1,0,0,1,78,0,0,78,0,12.4,0.4,2.92
,MYMENSINGH,258,84,8,5,33,0,97,9,0,0,9,116,8,0,124,0,16.3,1.6,2.19
,MYMENSINGH CC.,50,21,20,16,5,0,57,1,0,0,1,3,0,0,3,0,136.4,3.3,1.00
,NETROKONA,89,20,0,0,6,0,20,1,0,0,1,62,0,0,62,0,7.7,0.4,2.39
,SHERPUR,53,10,0,0,1,0,10,2,0,0,2,40,0,0,40,0,6.3,1.3,2.53
,MYMENSINGH,565,162,34,21,48,0,217,14,0,0,14,299,8,0,307,0,15.3,1.1,2.40
"IH
A
H
S
J
A
R",BOGRA,143,18,2,0,2,0,20,6,1,0,7,85,29,0,114,0,5.0,1.8,2.88
,JOYPURHAT,47,6,0,0,4,0,6,0,0,0,0,33,4,0,37,0,5.6,0.0,3.48
,NATORE,149,28,1,0,3,7,29,10,0,0,10,79,12,9,100,0,14.6,5.0,5.03
,NOAGOAN,120,10,4,0,4,4,14,2,2,0,4,48,46,0,94,0,4.6,1.3,3.10
,NOWABGANJ,85,14,0,0,5,0,14,1,0,0,1,39,21,5,65,0,7.3,0.5,3.39
,PABNA,240,57,8,3,8,22,68,1,0,0,1,88,21,35,144,0,22.1,0.3,4.90
,RAJSHAHI,131,7,6,4,4,0,17,4,1,0,5,52,23,34,109,0,5.2,2.0,4.36
,RAJSHAHI CC.,37,1,1,0,2,4,2,0,1,0,1,20,8,0,28,0,3.8,1.9,5.34
,SIRAJGANJ,247,26,94,78,1,0,198,1,2,0,3,51,41,31,123,0,33.2,0.8,3.41
,RAJSHAHI,1199,167,116,85,33,37,368,25,7,0,32,495,319,0,814,0,13.1,1.5,3.78
"R
U
P
G
N
A
R",DINAJPUR,158,17,0,0,12,0,17,2,0,0,2,111,5,11,127,0,4.9,0.6,3.65
,GAIBANDHA,130,11,1,0,7,8,12,4,0,0,4,69,19,11,99,0,4.3,1.4,3.57
,KURIGRAM,115,20,0,0,5,0,20,1,0,0,1,89,0,0,89,0,8.3,0.4,3.69
,LALMONIRHAT,50,10,0,0,2,0,10,1,0,0,1,32,5,0,37,0,6.8,0.7,2.53
,NILPHAMARI,116,7,1,0,3,2,8,0,3,0,3,60,25,15,100,0,3.7,1.4,4.68
,PANCHAGHARH,49,9,0,0,2,0,9,1,0,0,1,37,0,0,37,0,7.8,0.9,3.22
,RANGPUR,89,14,0,0,7,0,14,0,0,0,0,56,3,9,68,0,4.6,0.0,2.26
,RANGPUR CC.,27,7,1,0,0,0,8,1,1,0,2,8,9,0,17,0,23.3,5.8,4.96
,THAKURGOAN,188,34,14,8,1,6,56,2,0,0,2,66,35,30,131,0,29.6,1.2,8.09
,RANGPUR,922,129,17,8,39,16,154,12,4,0,16,528,177,0,705,0,7.9,0.9,3.83
"T
E
H
L
Y
S",HABIGANJ,102,25,0,0,24,0,25,1,0,0,1,34,4,14,52,0,10.3,0.4,2.14
,MOULVI BAZAR,156,46,22,6,13,21,74,1,0,0,1,47,6,0,53,0,30.4,0.4,2.37
,SUNAMGANJ,188,62,27,16,14,3,105,0,0,0,0,59,12,11,82,0,30.9,0.0,2.85
,SYLHET,142,54,6,0,4,0,60,2,0,0,2,54,7,15,76,0,18.0,0.6,2.27
,SYLHET CC.,19,4,0,0,2,0,4,1,0,0,1,12,0,0,12,0,7.2,1.8,2.15
,SYLHET,607,191,55,22,57,24,268,5,0,0,5,206,69,0,275,0,21.5,0.4,2.40
,Grand Total,11632,3747,1127,801,744,208,5675,158,18,0,176,4138,1492,0,5630,0,29.0,1.05,3.35
