0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"n
o
is
iv
iD",District,2020,,,,,,,,2021,,,,,,,
,,"s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k
a s
e a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#","s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k
a s
e a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#"
"h
g
n
is
n
e
m
y
M",Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mymensingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mymensingh CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mymensingh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ih
a
h
s
ja
R",Bogra,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Joypurhat,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Naogaon,4,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0
,Natore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Nowabganj,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Pabna,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
,Rajshahi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Rajshahi CC,5,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0
,Sirajganj,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Rajshahi,,29,5,0,1,1,22,0,0,2,0,0,0,0,1,1,0
"r
u
p
g
n
a
R",Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lalmonirhat,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Nilphamari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rangpur CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thakurgaon,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rangpur,,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"t
e
h
ly
S",Habiganj,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Moulvi Bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sunamganj,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sylhet CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylhet,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Grand Total,,71,24,0,4,9,34,0,11,7,1,0,0,0,3,3,0
