0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Summary of Cases 2021*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Measles Cases,,,,,Rubella Cases,,,Discarded Cases,,Incidence,,Discarded Rate
"n
o
is
i",District,"s
e
s
a",Lab,E p i-,,Clinically,Lab,E p i -,,Both Negative,"ro
f n
g n id o ita
nc
eif","Incidence per 1
million
population",,"Non-measles non-
rubella discarded
rate per 100,000 pop"
"v
iD",,"c
la
to
T",confirmed,linked,Total,compatible,confirmed,linked,Total,(Discarded),"pis
ss
a
e lc
s
a
C","s
e
ls
a
e
M","a
lle
b
u
R","tc s
ir u
ts ta
iD ts"
"L
A
S
IR
A
B",BARGUNA,10,0,0,0,0,0,0,0,10,0,0.00,0.00,3.47
,BARISAL,10,2,0,2,0,0,0,0,8,0,3.10,0.00,1.24
,BARISAL CC.,1,0,0,0,0,0,0,0,1,0,0.00,0.00,0.94
,BHOLA,11,0,0,0,0,0,0,0,11,0,0.00,0.00,1.92
,JHALAKATI,10,1,0,1,0,0,0,0,9,0,4.54,0.00,4.08
,PATUAKHALI,7,0,0,0,0,0,0,0,7,0,0.00,0.00,1.41
,PEROJPUR,6,0,0,0,0,0,0,0,6,0,0.00,0.00,1.67
BARISAL,,55,3,0,3,0,0,0,0,52,0,1.12,0.00,1.93
"G
N
O
G
A
T
T
IH
C",BANDARBAN,1,0,0,0,0,0,0,0,1,0,0.00,0.00,0.80
,BRAHMANBARIA,8,0,0,0,0,0,0,0,8,0,0.00,0.00,0.87
,CHANDPUR,4,0,0,0,0,0,0,0,4,0,0.00,0.00,0.51
,CHITTAGONG,9,0,0,0,0,1,0,1,8,0,0.00,0.62,0.49
,CHITTAGONG CC.,8,0,0,0,0,3,0,3,5,0,0.00,3.59,0.60
,COMILLA,7,1,0,1,0,0,0,0,6,0,0.61,0.00,0.37
,COMILLA CC.,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,COX'S BAZAR,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,FENI,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,KHAGRACHARI,2,0,0,0,0,0,0,0,2,0,0.00,0.00,1.01
,LAKSHMIPUR,9,1,0,1,0,2,0,2,6,0,1.79,3.58,1.07
,NOAKHALI,29,0,0,0,0,0,0,0,29,0,0.00,0.00,2.89
,RANGAMATI,1,0,0,0,0,0,0,0,1,0,0.00,0.00,0.52
CHITTAGONG,,78,2,0,2,0,6,0,6,70,0,0.22,0.65,0.76
"A
K
A
H
D",DHAKA,6,2,0,2,0,0,0,0,4,0,1.24,0.00,0.25
,DHAKA NORTH CC.,10,0,0,0,0,0,0,0,10,0,0.00,0.00,0.78
,DHAKA SOUTH CC.,2,0,0,0,0,1,0,1,1,0,0.00,1.01,0.10
,FARIDPUR,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,GAZIPUR,9,0,0,0,0,0,0,0,9,0,0.00,0.00,1.54
,GAZIPUR CC.,2,0,0,0,0,0,0,0,2,0,0.00,0.00,0.39
,GOPALGANJ,9,0,0,0,0,0,0,0,9,0,0.00,0.00,2.38
,KISHOREGANJ,8,1,0,1,0,0,0,0,7,0,1.06,0.00,0.74
,MADARIPUR,13,0,0,0,0,1,0,1,12,0,0.00,2.66,3.19
,MANIKGANJ,4,0,0,0,0,0,0,0,4,0,0.00,0.00,0.89
,MUNSHIGANJ,3,0,0,0,0,0,0,0,3,0,0.00,0.00,0.64
,NARAYANGANJ,12,0,0,0,0,0,0,0,12,0,0.00,0.00,1.66
,NARAYANGANJ CC.,1,0,0,0,0,0,0,0,1,0,0.00,0.00,0.44
,NARSINGDHI,3,0,0,0,0,0,0,0,3,0,0.00,0.00,0.42
,RAJBARI,3,0,0,0,0,0,0,0,3,0,0.00,0.00,0.88
,SARIATPUR,3,0,0,0,0,1,0,1,2,0,0.00,2.68,0.54
,TANGAIL,6,1,0,1,0,0,0,0,5,0,0.86,0.00,0.43
DHAKA,,94,4,0,4,0,3,0,3,87,0,0.34,0.25,0.74
"A
N
L
U
H
K",BAGERHAT,8,0,0,0,0,0,0,0,8,0,0.00,0.00,1.68
,CHUADANGA,10,0,0,0,0,2,0,2,8,0,0.00,5.48,2.19
,JESSORE,8,1,0,1,0,0,0,0,7,0,1.12,0.00,0.78
,JHENAIDAH,3,0,0,0,0,0,0,0,3,0,0.00,0.00,0.52
,KHULNA,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,KHULNA CC.,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,KUSHTIA,17,2,0,2,0,3,0,3,12,0,3.18,4.77,1.91
,MAGURA,20,0,0,0,0,0,0,0,20,0,0.00,0.00,6.74
,MEHERPUR,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,NARAIL,6,0,0,0,0,0,0,0,6,0,0.00,0.00,2.57
,SATKHIRA,4,0,0,0,0,0,0,0,4,0,0.00,0.00,0.62
KHULNA,,76,3,0,3,0,5,0,5,68,0,0.59,0.99,1.34
