0,1,2,3,4,5,6,7
National Target: 9 months to < 10 years children: 35.3 million,,,,,,,
Targets and achievement for MR vaccine by Division,,,,,,,
"Area/
Divisions",Target Pop,"No.
Reached","Admin
Coverage","Number & % districts
>95% coverage","Wastage
Rate","Total no
of AEFIs","Serious AEFIs (death
or hospital admitted)"
Barisal,"2,038,325","2,115,930",104%,"6, 100%",10%,64,1
Chittagong,"8,196,764","8,278,666",101%,11; 100%,10%,68,6
Dhaka,"8,992,191","9,441,416",105%,13; 100%,9%,87,10
Khulna,"3,197,268","3,284,986",103%,10; 100%,12%,86,9
Mymensingh,"2,797,906","2,897,218",104%,4; 100%,10%,9,1
Rajshahi,"3,955,191","4,130,644",104%,8; 100%,10%,85,2
Rangpur,"3,603,408","3,865,269",107%,8; 100%,12%,54,4
Sylhet,"2,556,468","2,571,562",101%,4; 100%,12%,6,1
National,"35,337,521","36,585,691",104%,64; 100%,10%,459,34
