0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
হাম রুন্দিলা কুান্দেইন ২০২৬ এর টিকািান্দনর তথ্য (নসটি কন্দপািন্দরশন),,,,,,,,,,,,,,,,,,,,
নসটি কন্দপািন্দরশন,যমাট লক্ষ্ুমাত্রা,,০৫ এনপ্রল ২০২৬ যেন্দক,,,০৫ এনপ্রল ২০২৬ যেন্দক,,,০৫ এনপ্রল ২০২৬ যেন্দক,,,েত ২৪ ঘন্টায় টিকা,,,েত ২৪ ঘন্টায় টিকা,,,েত ২৪ ঘন্টায় টিকা,,"যমাট কুান্দেইন
কাভান্দরজ"
,,,অদ্যািনি যমাট লক্ষ্ুমাত্রা,,,অদ্যািনি টিকা যিওয়া হন্দয়ন্দছ,,,অদ্যািনি কাভান্দরজ,,,িান্দনর লক্ষ্ুমাত্রা,,,যিওয়া হন্দয়ন্দছ,,,িান্দনর কাভান্দরজ,,
িনরশাল নসটি কন্দপািন্দরশন,৪৩৫০৬,৪৩৫০৬,,,৪৩৬২২,,,100%,,,০,,,০,,,0%,,,100%
িট্টগ্রাম নসটি কন্দপািন্দরশন,৩০০২৮৫,২৫৬১০৩,,,২৮৯৬১৭,,,113%,,,৪৭৬২,,,৪১৫১,,,87%,,,96%
কুনমল্লা নসটি কন্দপািন্দরশন,৪৮০০৪,৪৮০০৪,,,৪৮৪১৯,,,101%,,,০,,,০,,,0%,,,101%
ঢাকা উত্তর নসটি কন্দপািন্দরশন,৪৯৫৮৮৪,৪৯৫৮৮৪,,,৫১৪৭৭৬,,,104%,,,০,,,৩২২৪,,,0%,,,104%
ঢাকা িনক্ষ্ন নসটি কন্দপািন্দরশন,৪০৪০৭৪,৪০৩৯৩৯,,,৪০৪৯৪৭,,,100%,,,৪২,,,৯৮৯,,,2355%,,,100%
োজীপুর নসটি কন্দপািন্দরশন,১৭৮৪২৩,১৭৮১৫৬,,,১৯২০৭৯,,,108%,,,৯৪০৪,,,১৬৫০,,,18%,,,108%
নারায়নেঞ্জ নসটি কন্দপািন্দরশন,৭৮৩৩৭,৭৭৪২৩,,,৮০৭৬১,,,104%,,,৬১৫,,,৭৫৫,,,123%,,,103%
খুলনা নসটি কন্দপািন্দরশন,৯২৭০১,৯২৪৪৪,,,৯২২৬৪,,,100%,,,০,,,৮৭৩,,,0%,,,100%
ময়মননসংহ নসটি কন্দপািন্দরশন,৫৮৬৬৮,৫৮৬৬৮,,,৫৮০১৮,,,99%,,,০,,,১৫১,,,0%,,,99%
রাজশাহী নসটি কন্দপািন্দরশন,৫৪৮৮৬,৫৪৮৮৬,,,৫৮৩০৬,,,106%,,,০,,,৪৪৫,,,0%,,,106%
রংপুর নসটি কন্দপািন্দরশন,৮২২৪৯,৮২২৪৯,,,৭৯০৭৬,,,96%,,,০,,,৫১০,,,0%,,,96%
নসন্দলট নসটি কন্দপািন্দরশন,৬৮৯৩৩,৬৭৮৭২,,,৬৬৬৬৩,,,98%,,,০,,,১২২০,,,0%,,,97%
যমাট,১৯০৫৯৫০,১৮৫৯১৩৪,,,১৯২৮৫৪৮,,,104%,,,১৪৮২৩,,,১৩৯৬৮,,,94%,,,101%
