0,1,2,3,4,5,6,7,8,9,10,11,12
"Table 3: Number of public and private health worker education institutions, number and percentage of seats,
by division, 2020",,,,,,,,,,,,
"Division
(% of
popula-
tion)","N. medical colleges, seats and
% of total seats",,,"N. nursing colleges, seats and
% of total seats",,,"N. nursing institutes, seats
and % of total seats",,,"N. Midwifery institutes, seats
and % of total seats",,
,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private
"Rajshahi
(22.12%)","12 (1110,
10.38%)","4 (545,
12.5%)","8 (565,
8.9%)","28
(2585,
15.13%)","5 (175,
9%)","23
(2410,
15.9%)","42
(2215,
18.33%)","6 (510,
15.1%)","36
(1705,
19.6%)","16 (465,
12.4%)","7 (175,
16.7%)","9 (290,
10.8%)"
"Dhaka
(17.82%)","55
(5142,
48.6%)","10
(1257,
28.9%)","45
(3885,
61.2%)","77
(7785,
45.58%)","10 (560,
28.9%)","67
(7225,
47.7%)","69
(3745,
30.99%)","10 (810,
24%)","59
(2935,
33.7%)","40
(1425,
38.1%)","10 (275,
26.2%)","30 (1150,
42.8%)"
"Chat-
togram
(14.06%)","17
(1391,
12.54%)","6 (651,
15%)","11 (740,
11.7%)","20
(1345,
7.87%)","5 (350,
18.1%)","15 (995,
6.6%)","16 (1110,
9.18%)","5 (465,
13.8%)","11 (645,
7.4%)","12 (345,
9.2%)","7 (175,
16.7%)","5 (170,
6.3%)"
"Rangpur
(13.92%)","7 (800,
7.48%)","3 (460,
10.6%)","4 (340,
5.4%)","14
(1460,
8.55%)","4 (425,
22%)","10
(1035,
6.8%)","35
(1855,
5.54%)","5 (305,
9%)","30
(1550,
17.8%)","13 (430,
11.5%)","4 (100,
9.5%)","9 (330,
12.3%)"
"Sylhet
(11.21%)","6 (743,
6.95%)","3 (331,
7.6%)","3 (412,
6.5%)","10
(1300,
7.61%)","1 (125,
6.5%)","9 (1175,
7.8%)","10 (475,
3.93%)","2 (150,
4.4%)","8 (325,
3.7%)","8 (285,
7.6%)","3 (75,
7.1%)","5 (210,
7.8%)"
"Khulna
(9.71%)","10 (755,
7.06%)","6 (480,
11%)","4 (272,
4.3%)","8 (530,
3.1%)","4 (50,
2.6%)","4 (480,
3.2%)","26
(1400,
11.58%)","8 (635,
18.8%)","18 (765,
8.8%)","8 (250,
6.7%)","5 (125,
11.9%)","3 (125,
4.6%)"
"Barishal
(6.83%)","2 (331,
3.09%)","2 (281,
6.5%)",0,"10 (1125,
6.59%)","2 (125,
6.5%)","8 (1000,
6.6%)","12 (670,
5.54%)","5 (355,
10.5%)","7 (315,
3.6%)","8 (275,
7.4%)","4 (100,
9.5%)","4 (175,
6.5%)"
"Mymen-
singh
(4.32%)","4 (475,
4.44%)","3 (345,
7.9%)","1 (130,
2%)","7 (950,
5.56%)","1 (125,
6.5%)","6 (825,
5.4%)","13 (615,
5.09%)","3 (150,
4.4%)","10 (465,
5.3%)","7 (265,
7.1%)","1 (25,
2.4%)","6 (240,
8.9%)"
"BAN-
GLA-
DESH","113
(10694)","38
(4350)","75
(6344)","174
(17080)","32
(1935)","142
(15145)","223
(12085)","44
(3380)","179
(8705)","112
(3740)","41
(1050)","71
(2690)"
