0,1,2,3
"Table 8: Health workers employed by the Ministry of Health and Family Welfare (in DGHS, DGFP and DGNM),
by sex and occupational category (2021)",,,
Health worker category,Total,Male,Female
Doctors,"26,619",16919 (64%),9700 (36%)
Dentists,829,467 (56%),362 (44%)
Nurses (BSc and Diploma),"35,828",3582 (10%),32246 (90%)
Sub-Assistant Community Medical Officers,"7,927",5459 (69%),2468 (31%)
Midwifery,"1,145",0 (0%),1145 (100%)
Medical Technologists,"6,248",5276 (84%),972 (16%)
Domiciliary Staff8,"57,451",22071 (38%),35380 (62%)
Alternative medicine,"1,053",705 (67%),348 (33%)
Pharmacists9 (Category B),"1,744",1411 (81%),333 (19%)
Total,"138,844",55890 (40%),82954 (60%)
