0,1,2,3,4,5,6
"Table 10: Density by 10000 population of main categories of health workers employed by the Ministry of Health and
Family Welfare (DGHS and DGNM), by administrative division (2021)",,,,,,
"Density/
Division","Doctors
(generalists/specialists)",Dentists,"Nurses
(BSc and
Diploma)","Sub-Assistant
Community
Medical Officers","Medical tech-
nologists","Pharmacist
(DMT)"
Rajshahi,"1.05
(0.85/0.23)",0.05,2.41,0.12,0.33,1.11
Dhaka,"3.4
(3.0/0.4)",0.07,2.72,0.14,0.28,1.83
Chattogram,"1
(0.78/0.22)",0.04,1.38,0.20,0.20,0.98
Rangpur,"0.79
(0.71/0.2)",0.04,1.92,0.10,0.22,0.80
Sylhet,"0.96
(0.76/0.2)",0.04,1.64,0.35,0.17,0.19
Khulna,"0.99
(0.79/0.20)",0.04,2.04,0.22,0.24,1.12
Barishal,"0.99
(0.79/0.19)",0.05,2.66,0.92,0.26,0.72
Mymensingh,"0.98
(0.82/0.16)",0.05,1.62,0.49,0.22,2.05
Bangladesh,"1.72
(1.45/0.27)",0.05,2.13,0.24,0.25,1.09
