0,1,2,3,4
"Table 15: Distribution of all workers employed by the DGHS (Ministry of Health and Family Welfare), by division (2021)",,,,
"Division (% of total
population in Bangladesh)","Sanctioned posts
(% of total)","Filled posts
(% of total)",Vacant posts,"Vacancy Rate
(%)"
Rajshahi (22.12%),21389 (11.56),15729 (8.5),5660,26.46 %
Dhaka (17.82%),67369 (36.4),46210 (24.97),21159,31.41 %
Chattogram (14.06%),27580 (14.9),18191 (9.83),9389,34.04 %
Rangpur (13.92%),16926 (9.15),11796 (6.37),5130,30.31 %
Sylhet (11.21%),10657 (5.76),6622 (3.58),4035,37.86 %
Khulna (9.71%),17898 (9.67),11805 (6.38),6093,34.04 %
Barishal (6.83%),11912 (6.44),8141 (4.4),3771,31.66 %
Mymensingh (4.32%),11341 (6.13),8337 (4.5),3004,26.49 %
Total,185072 (100),126831 (68.53),58241,31.47 %
