0,1,2
Annex I: Databases,,
Source,Data available,Comment
MOHFW: Central HRIS,Yes,Up to November 2021
MOHFW: DGHS,Yes,Up to November 2021
MOHFW: DGFP,Yes,HR data 2020/2021
MOHFW: DGNM,Yes,HR data 2020/2021
Bangladesh Medical and Dental Council (BMDC),Yes,HR data 2021
Bangladesh Nursing and Midwifery Council (BNMC),Yes,HR data 2021
State Medical Faculty of Bangladesh (SMF),Yes,HR data 2021
Pharmacy Council of Bangladesh (PCB),Yes,HR data 2021
World Health Organization (WHO),Yes,
"Others : Medical Colleges, Dental Colleges, Postgraduate Health Professionals
Educaitonal Institutions including Medical University, Specialized Institutions",Yes,HR data 2020-21
