0,1,2,3,4,5,6,7,8
Table 31: Projection of the supply of midwifes according to scenario 1,,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply
of previ-
ous year","Attrition
rate
4%","Total Sup-
ply",,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,2131,164600000,0.13
2019,1068,,854,2131,85,2900,,
2020,1416,,1133,2900,116,3917,,
2021,1441,,1153,3917,157,4913,,
2022,2959,,2367,4913,197,7084,,
2023,3411,,2729,7084,283,9529,,
2024,3411,,2729,9529,381,11877,174612904,0.68
2025,3411,,2729,11877,475,14131,,
2026,3411,,2729,14131,565,16294,,
2027,3411,,2729,16294,652,18371,,
2028,3411,,2729,18371,735,20365,,
2029,3411,,2729,20365,815,22279,,
2030,3411,,2729,22279,891,24117,190686952,1.26
Source: BBS Pop Projection 2011-2061,,,,,,,,
