0,1,2,3,4,5,6,7,8,9
"Table 46: Projection of the supply of Medical Technologists-Radiotherapy according to
scenarios 3-4",,,,,,,,"Total popula-
tion in BD
(2018, 2024
& 2030)","Density
per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition rate
4%",Total Supply,,,
,"Gradu-
ates",Increase,95%,,,,,,
2018,,,,,,,576,164600000,0.03
2019,75,,71,576,23,,624,,
2020,77,,73,624,25,,672,,
2021,64,,61,672,27,,706,,
2022,84,,80,706,28,,758,,
2023,84,,80,758,30,,807,,
2024,84,,80,807,32,,855,174612904,0.05
2025,84,,80,855,34,,900,,
2026,84,,80,900,36,,944,,
2027,84,,80,944,38,,986,,
2028,84,,80,986,39,,1027,,
2029,84,,80,1027,41,,1065,,
2030,84,,80,1065,43,,1103,190686952,0.06
Source: BBS Pop Projection 2011-2061,,,,,,,,,
