0,1,2
A: Availability of different categories of health workforce in Bangladesh,,
"Sl.
No.",Type of health workforce,Total
"1
2","Registered MBBS graduate
Estimated number of doctor (MBBS) available in the country","93741
76867"
"3
4
5
6
7
8
9
10
11
12
13","Registered Dental Surgeon
Registered Medical Assistant (Diploma in Medical Faculty from MATS)","9608
14081"
,Registered Nursing and Midwifery Professional,
,(a) B Sc.,4064
,"(b) Diploma
Registered Midwife (Diploma)","50539
2131"
,Registered Pharmacy Professional,
,(a) Bachelor (B Pharm),14673
,"(b) Diploma
(c) Certified pharmacist","14454
105700"
,Diploma in Medical Technology (DMT) Professional,
,"(a) Laboratory
(b) Radiotherapy
(c) Radiography","12744
576
3435"
,(d) Physiotherapy,2376
,(e) Sanitary Inspector Training,2620
,"(f) Dentistry
(g) Operation Theater (OT) Assistance
(h) Intensive Care (IC) Assistance","4118
165
60"
,(i) Prosthetics and Orthotics,23
,(j) Cardiology,04
,Registered Homeopathic Medicine and Surgery Professional,
,(a) Bachelor,1605
,(b) Diploma,31090
,Registered Unani Medicine and Surgery Professional,
,(a) Bachelor,456
,"(b) Diploma
(c) Certified Unani professional","2662
4294"
,Registered Ayurvedic Medicine and Surgery Professional,
,"(a) Bachelor
(b) Diploma","388
1071"
,"(c) Certified Ayurvedic professional
Registered Family Welfare Visitor (FWV)
Registered Community Paramedic","3477
7202
1533"
14,Registered Community Based Skilled Birth Attendant (CSBA),9183
