0,1,2,3,4,5,6,7
"B: Availability of different categories of health professionals’ educational
institution (undergraduate) and number of seat in Bangladesh (degree wise)",,,,,,,
"Sl.
No.",Description,Number of Institution,,,Number of Seat,,
,,Govt.,"Non-
Govt.",Total,Govt.,"Non-
Govt.",Total
1,Medical College (MBBS),"37+1
Armed
Forces
MC=38*","70+5
Army
MC=75",113,"4118+125
AFMC=
4243","6281+250
Army
MC= 6531",10774
2,Dental College/Unit (BDS),9,26,35,532,1405,1937
3,Nursing Education,,,,,,
,(a) B Sc.,18,59,77,1435,2700,4135
,(b) Diploma,43,165,208,2580,7980,10560
,(c) Post-B Sc./Public Health Nursing,6,44,50,650,1690,2340
,(d) Specialized Diploma,1,5,6,20,100,120
4,Diploma in Midwifery,38,17,55,975,590,1565
5,Pharmacy Education,,,,,,
,(a) Bachelor (B Pharm),12,28,40,550,3220,3770
,(b) Diploma,11,41,52,481,1855,2336
6,"Diploma in Medical Faculty (DMF)
from Medical Assistant Training
School (MATS)**",9,200,209,818,12824,13642
7,"Diploma in Medical Technology
(DMT) from Institute of Health
Technology (IHT) (total 10
disciplines except Pharmacy) ***",13,97,110,2791,8940,11731
8,Diploma in Medical Technology (DMT) from Institute of Health Technology (IHT),,,,,,
,Laboratory,13,97,110,665,4127,4792
,Radiography,10,25,35,505,795,1300
,Physiotherapy,8,30,38,400,920,1320
,Dentistry,8,66,74,405,2123,2528
,Radiotherapy,7,6,14,140,500,640
,Operation Theatre Assistance,1,4,5,25,180,205
,Intensive Care Assistance,1,4,5,25,180,205
,Sanitary Inspector Training,-,1,1,-,100,100
,Prosthetics and Orthotics,-,1,1,-,10,10
,Cardiology,-,1,1,-,5,5
9,Homeopathic Medicine and Surgery,,,,,,
,(a) Bachelor,1,1,2,50,100,150
,(b) Diploma,-,61,61,-,3050,3050
10,Unani Medicine and Surgery,,,,,,
,(a) Bachelor,1,2,3,25,100,125
,(b) Diploma,1,15,16,50,750,800
11,Ayurvedic Medicine and Surgery,,,,,,
,(a) Bachelor,1,-,1,25,-,25
,(b) Diploma,-,9,9,-,450,450
12,Family Welfare Visitor (FWV),12,-,12,1000,-,1000
13,Community Paramedic,-,23,23,1270,-,1270
14,"Community Based Skilled Birth
Attendants (CSBA)",48,4,52,960,80,1040
