0,1,2,3
Name of the post,Sanctioned,Filled up,Vacant
Director General,1,1,0
Addl. Director General,1,0,1
Director,3,3,0
Deputy Director,6,6,0
Assistant Director,17,16,1
Principal,14,10,4
Vice-Principal,5,0,5
Professor,9,1,8
Associate Professor,17,0,17
Assistant Professor,33,0,33
Lecturer,77,70,7
Nursing Instructor/Sister Tutor (In-Charge),42,42,0
Nurse trainee/ Nursing Instructor/Sister Tutor/Instructor,294,283,11
Demonstrator,12,12,0
Nursing Superintendent/equivalent,64,46,18
Nursing Supervisor,1058,710,348
Deputy Nursing Superintendent,64,62,02
District Public Health Nurse – grade 9,64,57,7
Public Health Nurse – grade 10,4,4,0
Senior Staff Nurse,29108,29036,72
Staff Nurse,2000,1795,205
Assistant Nurse,487,487,-
Midwife,2996,1741,1255
