0,1,2
Sl.,Number of Workforce,Total
1.,Total Registered Graduate Doctors1,53063
2.,Estimated total doctors available in the country1,"43,537"
3.,"% of Doctors working under MOHFW2
% doctors working under other Ministries (Home, Police, Railway, Civil Aviation,
LGRD, Social Welfare and labour).","35%
3%"
4.,% of doctors working under the private sector2,58%
5.,Medical Officers (MCHFP) under DGFP3,540
6.,Registered diploma nurses 4,26899
7.,Estimated -Nurses currently available4,"15,023"
8.,Dental Surgeons3,4165
9.,Family Planning Officer (TFPO)3,546
10.,Assistant Family Planning Officer (ATFPO)3,1440
11.,"Registered medical technologists produced up to 20025
(a) Sanitary Inspector
(b) Dentists
(c) Laboratories Technicians
(d) Pharmacists
(e) Radiographers
(f) Physical Therapists","1041
1886
2220
7622
1456
581"
12.,Medical Assistants6,7365
13.,Health Assistants (HA) (Sanctioned) 6,21016
14.,Assistant Health Inspector (Sanctioned)6,4202
15.,Family Welfare visitors3 (Sanctioned)6,5705
16.,Health Inspectors6,1401
17.,Family Planning Inspector (Sanctioned)6,4500
18.,Family Welfare Assistants (Sanctioned)6,23500
