0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
Table 10: Major investigations done at NICRH (2023),,,,,,,,,,,,,,,,
htnoM,"nacs
TC","erudecorp
dediug
TC",ygolohtapotsiH,ygolohtapotyC,GSU,yar-X,ypocsodnE,"rekram
ruomuT","snotiagtisevni
baL",ypocsoploC,ypocsonoloC,LOF,"yduts
worram
enoB",,CHI,"snoticeS
nezorF"
January,516,38,362,175,1600,-,-,1074,9763,40,-,60,101,,68,27
February,384,48,367,187,1300,-,-,1059,8420,54,-,45,72,,58,22
March,400,45,415,168,1500,-,-,1253,8829,42,-,50,101,,91,22
April,300,09,275,77,1000,-,-,428,6743,10,-,51,70,,52,19
May,429,41,421,124,1400,-,-,890,10156,18,-,40,93,,78,35
June,471,25,368,140,1100,-,30,556,8506,27,18,50,77,,40,36
July,424,27,399,109,1300,-,34,1248,10901,32,31,50,70,,00,34
August,460,01,448,152,1600,-,36,1336,11119,42,50,60,98,,00,33
September,387,0,478,160,1400,-,-,1180,9809,23,-,55,77,,17,22
October,460,0,411,213,1300,824,34,1220,10193,40,46,50,75,,54,20
November,468,0,527,177,1400,622,35,1278,10337,39,41,65,71,,54,21
December,361,0,372,147,1400,39,43,1326,11571,30,25,40,83,,18,16
Total,5060,234,4843,1829,16300,1485,112,12848,11634,397,112,616,988,,530,307
