0,1,2,3,4,5,6,7,8,9,10,11,12,13
"Surgery
Department: Dental & Faciomaxillary Surgical Oncology",,,,,,,,,,,,,
Month,,,,"Surgery under general
anesthesia",,,,,"Surgery under local
anesthesia",,,Total,
January,,,,07,,,,,03,,,10,
February,,,,07,,,,,02,,,09,
March,,,,07,,,,,06,,,13,
April,,,,06,,,,,01,,,07,
May,,,,06,,,,,01,,,16,
June,,,,07,,,,,05,,,12,
July,,,,06,,,,,01,,,07,
August,,,,09,,,,,03,,,12,
September,,,,14,,,,,07,,,21,
October,,,,08,,,,,02,,,10,
November,,,,08,,,,,07,,,15,
December,,,,06,,,,,07,,,13,
Total,,,,91,,,,,52,,,132,
,,,,,,,,,,,,,
"Number of patients attended to OPD
Department: Dental & FacioMaxillary Surgical Oncology",,,,,,,,,,,,,
Mon,th,New Patients,,,,,Total,,,Old Patients,,,Total
,,Male,,,Female,,,,,Male,Female,,
Janu,ary,40,,,60,,100,,,67,68,,135
February,,68,,,80,,148,,,66,81,,147
March,,60,,,87,,147,,,84,95,,179
April,,58,,,61,,119,,,50,82,,132
May,,,67,,94,,,161,,91,95,,186
June,,,48,,60,,,108,,51,64,,115
July,,,76,,87,,,163,,71,96,,167
Augu,st,,67,,,82,149,,,75,117,,192
Sept,ember,53,,,,75,128,,,50,75,,125
October,,52,,,73,,125,,,42,80,,122
November,,63,,,72,,125,,,50,64,,124
Dece,mber,64,,,,71,135,,,65,74,,139
Total,,716,,,,902,,,,762,991,,
Gran,d Total,,,,,1618,,,,1753,,,
,,,,,,,,,,,,,
