0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
htnoM,,PFA,"GCh
ateB",,AEC,"521
AC",,9-91AC,"3-51
AC",,ASP,4TF,HST,gAsBH,"AND
VPH","91-DIVOC
RCP-TR",latoT
Janua,ry,56,63,,180,99,,127,182,,23,128,209,7,63,449,1586
February,,59,59,,180,101,,148,159,,28,98,167,60,0,118,1177
March,,55,76,,231,127,,190,211,,30,97,174,62,0,94,1347
April,,22,34,,83,36,,61,60,,12,45,75,0,0,51,479
May,,50,,65,171,124,,138,1,57,37,45,57,46,0,71,961
June,,39,,78,126,57,,94,,92,15,28,1,26,0,57,613
July,,75,,72,269,116,,173,1,74,31,85,168,85,21,4,1273
Augus,t,53,,60,214,,108,173,187,,40,119,262,120,68,0,1404
Septe,mber,67,78,,191,,107,150,139,,30,113,218,87,25,0,1205
October,,58,67,,221,119,,138,132,,23,116,237,109,40,0,1260
November,,66,76,,236,108,,171,129,,30,121,224,117,0,0,1278
Dece,mber,75,78,,234,,118,159,187,,45,106,206,118,0,0,1326
Total,,675,806,,2336,1,220,1722,1809,,344,1101,1998,837,217,844,13909
