0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Month,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Total Patient,,3356,2894,2989,2136,3206,2687,3492,3504,3091,3231,3264,3620,37470
Name of test,,,,,,,,,,,,,,
CBC/PBF,,2430,2067,2107,1555,2293,1988,2572,2598,2273,2387,2422,2736,27428
Stool R/E,,00,02,02,00,00,01,00,01,01,02,01,01,10
Urine R/E,,162,45,139,88,185,134,134,146,133,143,155,166,1630
B. Sugar,,540,493,503,287,602,444,524,568,509,540,539,570,6119
S. Bilirubin,,246,218,228,520,642,650,866,840,727,784,773,864,7358
SGOT,,58,62,65,34,65,56,88,85,87,77,85,121,883
SGPT,,2435,2159,2229,1659,2344,1994,2595,2590,2274,2357,2316,2676,27628
S. Alk. Phos.,,189,138,145,74,158,94,163,208,175,147,171,207,1869
B. Urea,,15,08,09,06,22,07,11,14,09,10,14,11,136
S. Creat.,,2496,2173,2253,1729,2451,2094,2692,2667,2346,2434,2424,2692,28451
"LDH
Total Protein",,"154
01","132
01","137
01","69
00","158
00","118
00","160
00","138
01","139
00","131
00","125
01","163
00","1625
05"
Albumin,,289,270,307,185,374,281,276,334,318,328,377,348,3687
Uric Acid,,37,32,33,12,35,25,53,54,34,52,27,28,422
Calcium,,175,171,179,125,191,164,186,209,199,142,197,223,2161
Magnesium,,19,13,12,20,14,00,00,00,00,00,00,00,78
Lipid,Profile,33,25,28,11,36,27,32,41,35,55,23,37,383
Electr,olyte,484,411,452,369,586,429,549,625,550,604,687,728,6474
"Total Test
Report=",,9763,8420,8829,6743,10156,8506,10901,11119,9809,10193,10337,11571,116347
