0,1,2,3,4,5,6
,,,,,,
Sl. No.,,Date,,Title / Topic/ journal,Presenter,
5,,"Sunday, 12th March 2023",,"A 38-year-old male presented with swelling
of right lower limb and low back pain","Dr. Sifat Abdullah
MD Thesis part,
Medical Oncology, NICRH",
6,,22/03/23,,"A young male presented with swelling of
right lower limb & low back pain","Dr. Sifat Abdullah,
MD (Thesis Part)",
7,,"Sunday, 27th August 2023",,Prevention of cervical cancer.,Dr. Md. Jahangir Alam MO,
8,,"Sunday, 20th August 2023",,"""Abiraterone and Olaparib for Metastatic
Castration-Resistant Prostate Cancer.""","Dr. Sifat Abdullah
MD, Thesis Part,
Medical Oncology, NICRH.",
9,,"Sunday, 6th August 2023",,"A 75-year-old male with double primary
malignancy","Dr. Shazia Sultana Mili
MD Thesis Part,
Medical Oncology, NICRH",
10,,"Sunday, 05 November 202",,"""Efficacy and safety of carboplatin with
nab-paclitaxel versus docetaxel in older
patients with squamous non-small-cell lung
cancer.""","Dr. Md. Raihan Bin Sharif
MD, Phase B,
Medical Oncology, NICRH.",
11,,"Sunday, 29 January 2023",,"""Soft tissue sarcoma, Pattern of
Histopathological diagnosis and approach
to the patient.""
""Recent advances in the management of
Liposarcoma""","1.Dr Jahidul Islam
MS, Phase B Resident,
Surgical Oncology, NICRH.
2.Dr Bahauddin Kawsar
MS, Phase B Resident,
Surgical Oncology, NICRH",
12,,27/11/23,,"Targeted Adjuvant Strategies for HR+, HER
2 -ve Early and Advanced Breast Cancer'.","Dr. ATM Kamrul Hasan,
CMO, NICRH",
13,,15th January 2023,,"“Pembrolizumab plus Chemotherapy in
Advanced Tripple Negative Breast Cancer”","Dr. FaizurAhmeduzzaman
Khan
MD Phase B Resident
Medical Oncology, NICRH",
1,4,11/8/2023,,"“Recent Updates in the Management of
Head & Neck Cancer.”","Dr. Jahangir Alam
MD, Medical Oncology
NICRH, Dhaka",
16,,"November 20, 2023",,"“Genetic Testing in Cancer Diagnosis,
Treatment, and Management”.","Dr. Swarnalatha Daram,
PhD,
Consultant & HOD",
17,,"Sunday, 25th June 2023",,"A 22-year-old lady presenting with
progressive cough and breathlessness","Dr. Faizur Ahmeduzzaman
Khan
MD Phase B Resident
Medical Oncology, NICRH",
1,8,"Sunday, 9th April 2023",,"Homologus Recombination Repair Gene
Mutations to predict Olaparib Plus","Dr Noor Esrat
MD Phase B Resident
Medical Oncology
NICRH.",
19,,"Sunday, 18th June 2023",,"Surgical Treatment of Low- Lying rectal
cancer : updates.","Dr. Nadia Farzana Islam
Assistant professor Surgery,
FCPS Surgical Oncology
Trainee, NICRH",
20,,"Sunday, 09 July 2023",,"A Phase 3 randomized, placebo controlled
study of Pembrolizumab in addition to
Paclitaxel and Carboplatin for measurable
stage 3 or 4a, stage 4b or recurrent
endometrial cancer.","Dr. Radia Afnin
MD Phase B Resident
Medical Oncology,
NICRH",
