0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
"Tests
Month",")dohteM
NAF(S/C
rof
doolB","S/C
rof
enirU","S/C
rof
baws
dnuoW","S/C
rof
suP","S/C
rof
lootS","S/C
rof
baws
taorhT","S/C
rof
mutupS","S/C
rof
egrahcsid
larhterU","S/C
rof
etaripsa
laehcarT","S/C
rof
baws
lanigav
hgiH",latoT
January,,31,4,5,,,,,,,40
February,,32,9,9,,,,,,,50
March,,32,7,9,,,,,,,48
April,,14,1,3,,,,,,,18
May,,40,6,10,,,,,,,56
June,,34,10,4,,,,,,,48
July,,40,8,15,,,,,,,63
August,,40,15,8,,,,,,,63
September,7,26,7,8,,,,,,,48
October,20,53,9,6,5,,2,,,1,96
November,23,41,10,4,3,,,1,,,82
December,29,35,12,6,6,,3,,1,,92
Total,79,418,98,87,14,,5,1,1,1,704
