0,1,2,3,4,5,6,7,8,9,10
Sl. No,.,Month,,IPD,,OPD,,Daycare,EBRT,Brachy.
1,,January,,202,,1305,,1133,183,135
2,,February,,187,,1136,,1394,175,133
3,,March,,220,,1105,,1511,161,133
4,,April,,251,,1424,,1374,136,96
5,,May,,317,,1765,,1287,123,99
6,,June,,272,,1,605,1010,153,103
7,,July,,261,,1,722,1400,137,73
8,,Augus,t,25,1,1299,,1846,163,100
9,,September,,21,9,1217,,1745,128,79
10,,October,,243,,1254,,2095,182,87
11,,November,,236,,1284,,2189,262,82
12,,December,,20,1,1275,,2354,242,85
Tota,l,,,286,0,16391,,18338,2045,1205
