0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,
Sl. No.,Services Given,,Number of patients attended,,,,,,,,,,,,
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
01,GIT Unit,,582,632,730,394,467,387,440,613,507,484,467,476,
02,Breast Unit,,779,697,713,443,486,535,684,733,677,671,591,621,
03,HB & Sarcoma Unit,,247,278,267,145,190,149,223,223,205,375,178,202,
04,Ortho – Oncology Unit,,156,174,143,140,132,126,102,136,127,133,122,137,
05,Referred to RS,,15,05,07,15,10,-,-,-,15,-,-,03,
06,noissimdA,GIT Unit,40,32,21,26,42,36,37,51,54,38,27,43,
,,Breast Unit,46,37,24,42,44,38,46,50,41,60,51,56,
,,HB & Sarcoma Unit,22,21,09,18,34,23,23,22,21,28,22,22,
,,Ortho – Oncology Unit,09,13,04,17,26,20,21,21,25,18,21,22,
07,Colonoscopy,,-,-,-,-,-,18,31,50,-,46,41,25,
08,Endoscopy,,-,-,-,-,-,30,34,36,-,34,35,43,
09,gntinetS,Oesophagus,-,-,-,-,-,-,05,--,-,01,-,02,
,,Stomach,-,-,-,-,-,-,-,--,-,-,01,--,
"10
11","ERCP
CT (Scan) guided Core biopsy",,"-
33","-
41","-
34","-
13","-
30","-
-","-
18","-
--","-
--","-
--","-
-","2
-",
12,Biopsy,,102,89,122,89,80,136,108,97,60,100,120,106,
13,"USG guided hydro-marker
insertion in breast lesion",,03,06,03,05,02,-,03,-,08,08,-,05,
,Total,,,,,,,,,,,,,,
