id,display_name,concept_class,source,latest_source_version
VW8Z,"Generic functioning domains, unspecified",Finding,ICD-11-MMS,2025-01
VW8Y,Other specified generic functioning domains,Finding,ICD-11-MMS,2025-01
VW6Z,"Community, social and civic life, unspecified",Finding,ICD-11-MMS,2025-01
VW6Y,"Other specified community, social and civic life",Finding,ICD-11-MMS,2025-01
VW61,Human rights,Finding,ICD-11-MMS,2025-01
VW60,Recreation and leisure,Finding,ICD-11-MMS,2025-01
VW5Z,"Major life areas, unspecified",Finding,ICD-11-MMS,2025-01
VW5Y,Other specified major life areas,Finding,ICD-11-MMS,2025-01
VW50,Remunerative employment,Finding,ICD-11-MMS,2025-01
VW4Z,"Interpersonal interactions and relationships, unspecified",Finding,ICD-11-MMS,2025-01
VW4Y,Other specified interpersonal interactions and relationships,Finding,ICD-11-MMS,2025-01
VW42,Intimate relationships,Finding,ICD-11-MMS,2025-01
VW41,Relating with strangers,Finding,ICD-11-MMS,2025-01
VW40,Basic interpersonal interactions,Finding,ICD-11-MMS,2025-01
VW3Z,"Domestic life, unspecified",Finding,ICD-11-MMS,2025-01
VW3Y,Other specified domestic life,Finding,ICD-11-MMS,2025-01
VW32,Assisting others,Finding,ICD-11-MMS,2025-01
VW31,Doing housework,Finding,ICD-11-MMS,2025-01
VW30,Preparing meals,Finding,ICD-11-MMS,2025-01
VW2Z,"Self-care, unspecified",Finding,ICD-11-MMS,2025-01
VW2Y,Other specified self-care,Finding,ICD-11-MMS,2025-01
VW25,Looking after one's health,Finding,ICD-11-MMS,2025-01
VW24,Eating,Finding,ICD-11-MMS,2025-01
VW23,Dressing,Finding,ICD-11-MMS,2025-01
VW22,Toileting,Finding,ICD-11-MMS,2025-01
VW21,Caring for body parts,Finding,ICD-11-MMS,2025-01
VW20,Washing oneself,Finding,ICD-11-MMS,2025-01
VW1Z,"Mobility, unspecified",Finding,ICD-11-MMS,2025-01
VW1Y,Other specified mobility,Finding,ICD-11-MMS,2025-01
VW16,Using transportation,Finding,ICD-11-MMS,2025-01
VW15,Moving around using equipment,Finding,ICD-11-MMS,2025-01
VW14,Moving around within the home,Finding,ICD-11-MMS,2025-01
VW13,Walking,Finding,ICD-11-MMS,2025-01
VW12,"Carrying, moving and handling objects",Finding,ICD-11-MMS,2025-01
VW11,Transferring oneself,Finding,ICD-11-MMS,2025-01
VW10,Maintaining a standing position,Finding,ICD-11-MMS,2025-01
VW0Z,"Communication, unspecified",Finding,ICD-11-MMS,2025-01
VW0Y,Other specified communication,Finding,ICD-11-MMS,2025-01
VW01,Conversation,Finding,ICD-11-MMS,2025-01
VW00,Communicating with - receiving - spoken messages,Finding,ICD-11-MMS,2025-01
VV9Z,"General tasks and demands, unspecified",Finding,ICD-11-MMS,2025-01
VV9Y,Other specified general tasks and demands,Finding,ICD-11-MMS,2025-01
VV91,Handling stress and other psychological demands,Finding,ICD-11-MMS,2025-01
VV90,Carrying out daily routine,Finding,ICD-11-MMS,2025-01
VV8Z,"Learning and applying knowledge, unspecified",Finding,ICD-11-MMS,2025-01
VV8Y,Other specified learning and applying knowledge,Finding,ICD-11-MMS,2025-01
VV81,Solving problems,Finding,ICD-11-MMS,2025-01
VV80,Basic learning,Finding,ICD-11-MMS,2025-01
VV7Z,"Functions of the skin and related structures, unspecified",Finding,ICD-11-MMS,2025-01
VV7Y,Other specified functions of the skin and related structures,Finding,ICD-11-MMS,2025-01
VV70,Functions of the skin,Finding,ICD-11-MMS,2025-01
VV6Z,"Neuromusculoskeletal and movement-related functions, unspecified",Finding,ICD-11-MMS,2025-01
VV6Y,Other specified neuromusculoskeletal and movement-related functions,Finding,ICD-11-MMS,2025-01
VV61,Muscle power functions,Finding,ICD-11-MMS,2025-01
VV60,Mobility of joint functions,Finding,ICD-11-MMS,2025-01
VV5Z,"Genitourinary and reproductive functions, unspecified",Finding,ICD-11-MMS,2025-01
VV5Y,Other specified genitourinary and reproductive functions,Finding,ICD-11-MMS,2025-01
VV51,Sexual functions,Finding,ICD-11-MMS,2025-01
VV50,Urination functions,Finding,ICD-11-MMS,2025-01
VV4Z,"Functions of the digestive, metabolic and endocrine systems, unspecified",Finding,ICD-11-MMS,2025-01
VV4Y,"Other specified functions of the digestive, metabolic and endocrine systems",Finding,ICD-11-MMS,2025-01
VV40,Functions related to the digestive system,Finding,ICD-11-MMS,2025-01
VV3Z,"Functions of the cardiovascular, haematological, immunological and respiratory systems, unspecified",Finding,ICD-11-MMS,2025-01
VV3Y,"Other specified functions of the cardiovascular, haematological, immunological and respiratory systems",Finding,ICD-11-MMS,2025-01
VV30,Exercise tolerance functions,Finding,ICD-11-MMS,2025-01
VV2Z,"Voice and speech functions, unspecified",Finding,ICD-11-MMS,2025-01
VV2Y,Other specified voice and speech functions,Finding,ICD-11-MMS,2025-01
VV20,Voice functions,Finding,ICD-11-MMS,2025-01
VV1Z,"Sensory functions and pain, unspecified",Finding,ICD-11-MMS,2025-01
VV1Y,Other specified sensory functions and pain,Finding,ICD-11-MMS,2025-01
VV12,Sensation of pain,Finding,ICD-11-MMS,2025-01
VV11,Hearing and vestibular functions,Finding,ICD-11-MMS,2025-01
VV10,Seeing and related functions,Finding,ICD-11-MMS,2025-01
VV0Z,"Mental functions, unspecified",Finding,ICD-11-MMS,2025-01
VV0Y,Other specified mental functions,Finding,ICD-11-MMS,2025-01
VV04,Emotional functions,Finding,ICD-11-MMS,2025-01
VV03,Memory functions,Finding,ICD-11-MMS,2025-01
VV02,Attention functions,Finding,ICD-11-MMS,2025-01
VV01,Sleep functions,Finding,ICD-11-MMS,2025-01
VV00,Energy and drive functions,Finding,ICD-11-MMS,2025-01
VE20,Sensation of pain [BMDS],Finding,ICD-11-MMS,2025-01
VE14,Memory functions [BMDS],Finding,ICD-11-MMS,2025-01
VE13,Attention functions [BMDS],Finding,ICD-11-MMS,2025-01
VE12,Emotional functions [BMDS],Finding,ICD-11-MMS,2025-01
VE11,Sleep functions [BMDS],Finding,ICD-11-MMS,2025-01
VE10,Energy and drive functions [BMDS],Finding,ICD-11-MMS,2025-01
VE01,Hearing and vestibular functions [BMDS],Finding,ICD-11-MMS,2025-01
VE00,Seeing and related functions [BMDS],Finding,ICD-11-MMS,2025-01
VD57,Problems in relaxation or pleasure [WHODAS],Finding,ICD-11-MMS,2025-01
VD56,Health problems causing family problems [WHODAS],Finding,ICD-11-MMS,2025-01
VD55,Health drain on financial resources [WHODAS],Finding,ICD-11-MMS,2025-01
VD54,Emotional effect of health condition [WHODAS],Finding,ICD-11-MMS,2025-01
VD53,Time spent on health condition [WHODAS],Finding,ICD-11-MMS,2025-01
VD52,Human rights [WHODAS],Finding,ICD-11-MMS,2025-01
VD51,Problems by barriers [WHODAS],Finding,ICD-11-MMS,2025-01
VD50,Recreation and leisure [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.Z,"Remunerative employment [WHODAS], unspecified",Finding,ICD-11-MMS,2025-01
VD43.Y,Other specified remunerative employment [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.3,Getting remunerative work or school work done quickly [WHODAS],Finding,ICD-11-MMS,2025-01
