BedID,FacilityID,BedType,Status
1,1,General,Occupied
2,2,ICU,Available
3,3,Emergency,Available
4,4,General,Available
5,5,ICU,Occupied
6,6,Emergency,Available
7,7,General,Available
8,8,ICU,Available
9,9,Emergency,Occupied
10,10,General,Available
11,11,ICU,Available
12,12,Emergency,Available
13,13,General,Occupied
14,14,ICU,Available
15,15,Emergency,Available
16,16,General,Available
17,17,ICU,Occupied
18,18,Emergency,Available
19,19,General,Available
20,20,ICU,Available
21,21,Emergency,Occupied
22,22,General,Available
23,23,ICU,Available
24,24,Emergency,Available
25,25,General,Occupied
26,26,ICU,Available
27,27,Emergency,Available
28,28,General,Available
29,29,ICU,Occupied
30,30,Emergency,Available
31,31,General,Available
32,32,ICU,Available
33,33,Emergency,Occupied
34,34,General,Available
35,35,ICU,Available
36,36,Emergency,Available
37,37,General,Occupied
38,38,ICU,Available
39,39,Emergency,Available
40,40,General,Available
41,41,ICU,Occupied
42,42,Emergency,Available
43,43,General,Available
44,44,ICU,Available
45,45,Emergency,Occupied
46,46,General,Available
47,47,ICU,Available
48,48,Emergency,Available
49,49,General,Occupied
50,50,ICU,Available
51,51,Emergency,Available
52,52,General,Available
53,53,ICU,Occupied
54,54,Emergency,Available
55,55,General,Available
56,56,ICU,Available
57,57,Emergency,Occupied
58,58,General,Available
59,59,ICU,Available
60,60,Emergency,Available
