table_name,csv_file,column_count,row_count,pre_migration_006_rows,migration_006_source_rows,sha256,schema_columns_match,canonical_row_order_match
AdministrativeRegion,normalized_sql_tables/AdministrativeRegion.csv,4,8,8,0,cd63cd74289bd7b3c40c7af67ac71a89bb36f8d67bd8a711c532d32a78377121,yes,yes
Biopsy,normalized_sql_tables/Biopsy.csv,3,12,12,0,ccd6b203b2f0001f54dc738d4733bc45730e991d70a9c81c923a5525d04369ab,yes,yes
CancerCase,normalized_sql_tables/CancerCase.csv,6,12,12,0,49a2e9e804d5d1d7899add98e619c96b691d14c6c440f1984312e2502ee2c257,yes,yes
Covid19,normalized_sql_tables/Covid19.csv,5,20,20,0,9e956e829be4b405a9ae7d8ac1ced9b4717452c0d80f58c4fd9dc284ffdc7cf0,yes,yes
Dengue,normalized_sql_tables/Dengue.csv,6,15,15,0,69742b619548e6faf10407158cb1fa58502dedf219fefcd814fd5ba5404a0a71,yes,yes
Designation,normalized_sql_tables/Designation.csv,2,85,31,54,277b81376e01743a700a9ab778f83331499c1a328187845856350a591d7b1c70,yes,yes
Diarrhea,normalized_sql_tables/Diarrhea.csv,6,15,15,0,767da9f69c99887b10234b9a81b63be772d08555cf0e1930c2d8d715e7cd71b7,yes,yes
Disease,normalized_sql_tables/Disease.csv,3,18517,9,18508,8d03cf5875f7eedfe9699cf669540fb345fcaf7242c69578fd1c6ccbbbe88367,yes,yes
HIV,normalized_sql_tables/HIV.csv,6,15,15,0,2d274acbb6257b8b998d07952864e3078c02f4a45142761732be3ef21e0ad246,yes,yes
HealthFacility,normalized_sql_tables/HealthFacility.csv,4,39614,180,39434,e0cd5149a35cdb5f8e9a926101146e8196bdcfd194ac72f20a5a0009015ca4b8,yes,yes
HealthWorker,normalized_sql_tables/HealthWorker.csv,5,12,12,0,8da54dd940bbc8867fb5079ac4d5d84d5c2cce828c23b59efb32c15a7a941410,yes,yes
HospitalBed,normalized_sql_tables/HospitalBed.csv,4,60,60,0,a280a2c48a9c085e86353c9fcfd74745c0f7aa83a76ca7af85e7fc1aed5e060c,yes,yes
Laboratory,normalized_sql_tables/Laboratory.csv,3,9709,15,9694,51ec5b74263f443891baccd1e650b8550d74053871c0a05fa978490970338682,yes,yes
Malnutrition,normalized_sql_tables/Malnutrition.csv,5,15,15,0,ed2b4ad09777ee04e7a760c1530efe3c5403279a87df88018a93aee5f58392c2,yes,yes
MaternalHealth,normalized_sql_tables/MaternalHealth.csv,3,12,12,0,976f2ca9e5f9d7fa66c7a0424c21dc9e733fce1c2fce737ffb668089217a58d9,yes,yes
Measles,normalized_sql_tables/Measles.csv,6,15,15,0,802cda1602ef6d169bbe5f18806e38919c0f85f8a3edf77da75e944a27712f24,yes,yes
Newborn,normalized_sql_tables/Newborn.csv,3,10,10,0,2aa5d542291271fd0f219dfaddf8375160184f5b921974e5c4dda05b25bc15fe,yes,yes
Patient,normalized_sql_tables/Patient.csv,6,15,15,0,641121737f465cc796de6f983324c68473903a129bfe795034aaf4a5347319ec,yes,yes
PopulationGroup,normalized_sql_tables/PopulationGroup.csv,3,8,8,0,dc8b0b8b59f49eb1437aab581bfe20e59818f7e001dedaab199a26d56ddc8a6b,yes,yes
TelemedicineCenter,normalized_sql_tables/TelemedicineCenter.csv,3,10,10,0,01ecfdad7c4bdd8dd78ad61e48a575650bb7074e7a58815d16b4c1e42bfaecac,yes,yes
Vaccination,normalized_sql_tables/Vaccination.csv,3,6,6,0,478493600d6bd8a65277a5a405f80e4b86cde5e6e393f1b31722efcb0acfcdef,yes,yes
