source_file,pipeline_file,quality_status,classification,target_sql_table,mapping_status,load_eligible,loaded_rows,decision_reason
derived_mapping_output,cleaned_tables/114_DGHS_Active_Facility_Registry/HealthFacility.csv,accepted_mapped,health_facility,HealthFacility,loaded_by_migration_006,yes,39434,explicit_verified_mapping
derived_mapping_output,cleaned_tables/114_DGHS_Active_Facility_Registry/Laboratory.csv,accepted_mapped,laboratory,Laboratory,loaded_by_migration_006,yes,9694,explicit_verified_mapping
derived_mapping_output,cleaned_tables/116_Bangladesh_ICD11_Condition_ValueSet/Disease.csv,accepted_mapped,disease_reference,Disease,loaded_by_migration_006,yes,18508,explicit_verified_mapping
derived_mapping_output,cleaned_tables/117_Bangladesh_Vaccine_Value_Set/VaccineReference.csv,accepted_mapped,vaccine_reference,Vaccination,excluded,no,0,terminology_has_no_patient_or_event_date
derived_mapping_output,cleaned_tables/118_Bangladesh_Open_Data_Doctor_Directory/Designation.csv,accepted_mapped,human_resource,Designation,loaded_by_migration_006,yes,54,explicit_verified_mapping
extracted_tables/003_bangladesh-country-fact-sheet/table_001.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_001.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/003_bangladesh-country-fact-sheet/table_002.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_002.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/003_bangladesh-country-fact-sheet/table_003.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/003_bangladesh-country-fact-sheet/table_004.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_004.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/003_bangladesh-country-fact-sheet/table_005.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_005.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/003_bangladesh-country-fact-sheet/table_006.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_006.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_001.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_001.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_002.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_002.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_003.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_004.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_004.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_005.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_005.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_006.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_006.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_007.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_007.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_008.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_008.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
