source_file,file,rows,cols,quality_status,quality_reasons,status,error
derived_mapping_output,cleaned_tables/114_DGHS_Active_Facility_Registry/HealthFacility.csv,39434,4,accepted_mapped,explicit_source_to_schema_mapping,ok,
derived_mapping_output,cleaned_tables/114_DGHS_Active_Facility_Registry/Laboratory.csv,9694,3,accepted_mapped,explicit_source_to_schema_mapping,ok,
derived_mapping_output,cleaned_tables/116_Bangladesh_ICD11_Condition_ValueSet/Disease.csv,18508,3,accepted_mapped,explicit_source_to_schema_mapping,ok,
derived_mapping_output,cleaned_tables/117_Bangladesh_Vaccine_Value_Set/VaccineReference.csv,10,5,accepted_mapped,explicit_source_to_schema_mapping,ok,
derived_mapping_output,cleaned_tables/118_Bangladesh_Open_Data_Doctor_Directory/Designation.csv,54,2,accepted_mapped,explicit_source_to_schema_mapping,ok,
extracted_tables/003_bangladesh-country-fact-sheet/table_001.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_001.csv,5,2,review_required,placeholder_headers,ok,
extracted_tables/003_bangladesh-country-fact-sheet/table_002.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_002.csv,2,2,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/003_bangladesh-country-fact-sheet/table_003.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_003.csv,13,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/003_bangladesh-country-fact-sheet/table_004.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_004.csv,34,13,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/003_bangladesh-country-fact-sheet/table_005.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_005.csv,8,2,review_required,placeholder_headers,ok,
extracted_tables/003_bangladesh-country-fact-sheet/table_006.csv,quarantined_tables/003_bangladesh-country-fact-sheet/table_006.csv,28,5,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_001.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_001.csv,7,2,review_required,placeholder_headers,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_002.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_002.csv,5,3,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_003.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_003.csv,9,2,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_004.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_004.csv,8,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_005.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_005.csv,50,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_006.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_006.csv,24,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_007.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_007.csv,31,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_008.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_008.csv,23,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
