DesignationID,DesignationName
400001,Anesthesiologist
400002,Asstt. Director
400003,Asstt. Registrar
400004,Asstt. Registrar(Cardiology)
400005,Asstt. Registrar(Dental)
400006,Asstt. Registrar(ENT)
400007,Asstt. Registrar(Gyn & Obs)
400008,Asstt. Registrar(Hepatology)
400009,Asstt. Registrar(Medicine)
400010,Asstt. Registrar(Opthalmology)
400011,Asstt. Registrar(Orthopaedics Surgery)
400012,Asstt. Registrar(Paediatrics Nephrology)
400013,Asstt. Registrar(Paediatrics Surgery)
400014,Asstt. Registrar(Paediatrics)
400015,Asstt. Registrar(Respiratory Medicine)
400016,Asstt. Registrar(Surgery)
400017,Clinical Pathologist
400018,Dental Surgeon
400019,Deputy Director(Rajshahi Medical Hospital)
400020,Director(Rajshahi MCH)
400021,Emergency Medical Officer
400022,Jr. Consultant(Anesthesia)
400023,Jr. Consultant(Eye)
400024,Jr. Consultant(Orthopaedics)
400025,Jr. Consultant(Paediatrics)
400026,Jr. Consultant(Surgery)
400027,Medical Officer(BT)
400028,Medical Officer(IMO)
400029,Medical Officer(Indoor)
400030,Medical Officer(OPD)
400031,Medical Officer(Unani)
400032,Pathologist
400033,Radiologist
400034,Radiotherapist
400035,Registrar(ENT)
400036,Registrar(Gyn & Obs)
400037,Registrar(Hematology)
400038,Registrar(Medicine)
400039,Registrar(Neuro Surgery)
400040,Registrar(Orthopaedics Surgery)
400041,Registrar(Paediatrics)
400042,Registrar(Physical Medicine)
400043,Registrar(Surgery)
400044,Research Asstt.
400045,Resident Physician
400046,Resident Surgeon
400047,RMO
400048,Sr. Consultant(Eye)
400049,Sr. Consultant(Gyn & Obs)
400050,Sr. Consultant(Paediatrics)
400051,Sr. Staff Nurse
400052,Sr. Store Officer
400053,Sub Asstt. Community Medical Officer
400054,Upazila H&FP Officer(UH&FPO)
