FacilityID,FacilityType,FacilityName,RegionID
100001,Divisional Level Office,Dhaka Divisional Health Office [DGHS Facility ID 1],1
100002,Directorate General or Directorate,Directorate General of Health Services (DGHS) [DGHS Facility ID 2],1
100003,Public Health Institution,"Institute of Epidemiology, Disease Control & Research (IEDCR) [DGHS Facility ID 3]",1
100004,Public Health Institution,Institute of Public Health (IPH) [DGHS Facility ID 4],1
100005,Public Health Institution,Institute Of Public Health Nutrition (IPHN) [DGHS Facility ID 5],1
100006,Postgraduate Institute & Hospital,National Institute Of Cancer Research And Hospital (NICR&H) [DGHS Facility ID 6],1
100007,Postgraduate Institute & Hospital,National Institute Of Cardiovascular Disease (NICVD) [DGHS Facility ID 7],1
100008,Postgraduate Institute & Hospital,National Institute of Diseases of the Chest & Hospital (NIDCH) [DGHS Facility ID 8],1
100009,Postgraduate Institute & Hospital,National Institute of Kidney Disease and Urology (NIKDU) [DGHS Facility ID 9],1
100010,Postgraduate Institute & Hospital,National Institute Of Mental Health (NIMH) [DGHS Facility ID 10],1
100011,Postgraduate Institute & Hospital,National Institute Of Ophthalmology (NIO) [DGHS Facility ID 11],1
100012,Public Health Institution,National Institute of Preventive and Social Medicine (NIPSOM) [DGHS Facility ID 12],1
100013,Postgraduate Institute & Hospital,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR) [DGHS Facility ID 13],1
100014,Specialized Health Center,National Center For Control Of Rheumatic Fever & Heart Disease [DGHS Facility ID 14],1
100015,Urban Dispensary,A. G. B. Urban Dispensary [DGHS Facility ID 15],1
100016,School Health Clinic,Armanitola School Health Clinic [DGHS Facility ID 16],1
100017,School Health Clinic,Azimpur School Health Clinic [DGHS Facility ID 17],1
100018,Urban Dispensary,B. G. Press Urban Dispensary [DGHS Facility ID 18],1
100019,Urban Dispensary,Banga Bhaban Urban Dispensary [DGHS Facility ID 19],1
100020,Other Hospital,Bangladesh Secretariat Clinic [DGHS Facility ID 20],1
100021,Port Health Office,Chattogram Airport Health Office [DGHS Facility ID 21],2
100022,Specialized Health Center,National Asthma Center [DGHS Facility ID 22],1
100023,District Level Office,Dhaka Civil Surgeon Office [DGHS Facility ID 23],1
100024,Public Health Institution,Center For Medical Education [DGHS Facility ID 24],1
100025,Dental College,Dhaka Dental College [DGHS Facility ID 25],1
100026,Dental College Hospital,Dhaka Dental College Hospital [DGHS Facility ID 26],1
100027,College of Alternative Medicine,Govt. Homeopathic Medical College [DGHS Facility ID 27],1
100028,Institute of Health Technology,Dhaka Institute of Health Technology [DGHS Facility ID 28],1
100029,Leprosy Hospital,Dhaka Leprosy Hospital [DGHS Facility ID 29],1
100030,Medical College,Dhaka Medical College [DGHS Facility ID 30],1
100031,Medical College Hospital,Dhaka Medical College Hospital [DGHS Facility ID 31],1
100032,Special Purpose Hospital,"Sarkari Karmachari Hospital- Fulbaria, Dhaka-1000 [DGHS Facility ID 32]",1
100033,Urban Dispensary,Gandaria Urban Dispensary [DGHS Facility ID 33],1
100034,Urban Dispensary,Green Road Urban Dispensary [DGHS Facility ID 34],1
