LabID,LabName,FacilityID
218175,ICON DIAGNOSTIC CENTER LTD. — Consultancy & Diagnostic Center [DGHS Facility ID 18175],118175
219257,LIFE CARE CLINIC — Consultancy & Diagnostic Center [DGHS Facility ID 19257],119257
220819,LIFE CARE CLINIC & DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 20819],120819
220823,Kushtia Diabetic Samity(labratory) — Consultancy & Diagnostic Center [DGHS Facility ID 20823],120823
220834,astha Shastho sheba — Consultancy & Diagnostic Center [DGHS Facility ID 20834],120834
220836,Barisal C.T Centre Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 20836],120836
220837,Al -Khidmah Hospital & Diagnostic Center. — Consultancy & Diagnostic Center [DGHS Facility ID 20837],120837
220841,Popular Diagnostic Complex — Consultancy & Diagnostic Center [DGHS Facility ID 20841],120841
220842,Rahat Anwar Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20842],120842
220845,Family Care Diagnostic — Consultancy & Diagnostic Center [DGHS Facility ID 20845],120845
220849,DR. HADI HEALTH CARE — Consultancy & Diagnostic Center [DGHS Facility ID 20849],120849
220856,Zainul Haque Sikder Womens Medical College & Hospital .Gulshan Brmach — Consultancy & Diagnostic Center [DGHS Facility ID 20856],120856
220859,Habib Medical Center — Consultancy & Diagnostic Center [DGHS Facility ID 20859],120859
220861,Reda Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20861],120861
220862,New Rainbow Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 20862],120862
220863,Beraid Al-Helal Medical And Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 20863],120863
220879,SARMIN MEDICAL CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 20879],120879
220880,RABEA MEDICAL CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 20880],120880
220881,MOHAN GENERAL HOSPITAL — Consultancy & Diagnostic Center [DGHS Facility ID 20881],120881
220883,"Payra Bondor Darus Shefa Diagnostic Centre , (Digital Lab) — Consultancy & Diagnostic Center [DGHS Facility ID 20883]",120883
220885,SHRIJA DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 20885],120885
220886,JANANI MEDICAL SERVICES — Consultancy & Diagnostic Center [DGHS Facility ID 20886],120886
